LED Index,X Position,Y Position,Z Position
0,-0.5745241707861549,-0.9964534834953399,-0.9962970122418783
1,-1.340140369098986,-0.77268336861331,1.122973294497778
2,-0.5745241707861549,-0.9964534834953399,-0.9962970122418783
3,-1.340140369098986,-0.77268336861331,1.122973294497778
4,-0.5745241707861549,-0.9964534834953399,-0.9962970122418783
5,-1.340140369098986,-0.77268336861331,1.122973294497778
6,-0.5745241707861549,-0.9964534834953399,-0.9962970122418783
7,0.0,0.0,0.0
8,-617728786.0,1.0,1.0
9,-1.340140369098986,-0.77268336861331,1.122973294497778
10,-0.5745241707861549,-0.9964534834953399,-0.9962970122418783
11,-1.340140369098986,-0.77268336861331,1.122973294497778
12,-0.5745241707861549,-0.9964534834953399,-0.9962970122418783
13,-1.340140369098986,-0.77268336861331,1.122973294497778
14,-0.5745241707861549,-0.9964534834953399,-0.9962970122418783
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
